,Media,Demographic,Genre,Theme
"Ginban Kaleidoscope","Anime,Manga,Light novel",,"Comedy,Drama,Romance,Sports",
"Ginga Hyouryuu Vifam","Anime,Original Video Animation,Games",,"Adventure,Mecha,Science Fiction",
"Ginga Kikoutai: Majestic Prince","Anime,Manga,Guide Book",,"Action,Science Fiction",
"Ginga Legend Weed","Anime,Manga,Novel",,"Action,Adventure,Drama",Anthropomorphism
"Ginga Tetsudou Monogatari","Anime,Manga,Original Video Animation,Audio Drama",,"Action,Adventure,Drama,Fantasy,Science Fiction",
"Ginga e Kickoff!!",Anime,,Sports,Soccer
"Ginga: Nagareboshi Gin","Anime,Manga,Novel",Shōnen,"Action,Adventure,Drama",Anthropomorphism
Gingitsune,"Anime,Manga,Audio Drama",,"Fantasy,Slice of Life",
"Giniro no Olynsis","Anime,Light novel",,"Adventure,Fantasy,Mecha,Romance",
Gintama,"Anime,Manga,Light novel,Original Video Animation,Film,Games,Guide Book,Live Action",Shōnen,"Comedy,Drama,Science Fiction",
"Girlfriend (Kari)","Anime,Manga,Original Video Animation,Games,Audio Drama,Guide Book",,Romance,
"Girlish Number","Anime,Manga,Novel",,"Comedy,Slice of Life",
"Girls Beyond the Wasteland","Anime,Manga,Visual novel,Games",,"Drama,Romance",
"Girls Bravo","Anime,Manga,Visual novel,Games",,"Comedy,Romance","Harem,Ecchi"
"Girls und Panzer","Anime,Manga,Original Video Animation,Film,Guide Book",,"Action,Comedy,Sports","School,Alternate History,Military"
"Girls' Last Tour","Anime,Manga",,"Adventure,Science Fiction,Slice of Life",Post-Apocalyptic
"Girly Air Force","Anime,Manga,Light novel,Games",Shōnen,"Action,Romance,Science Fiction",Aviation
Given,"Anime,Manga,Audio Drama",Shōjo,"Drama,Romance,Yaoi",Music
"Glass Fleet",Anime,,"Adventure,Science Fiction",
"Glass Maiden",Anime,,"Action,Science Fiction",
"Glass no Kamen","Anime,Manga,Original Video Animation,TV drama",Shōjo,"Drama,Romance",
Glasslip,"Anime,Manga,Light novel",Shōnen,"Drama,Romance,Slice of Life","School Life"
Gleipnir,"Manga,Anime",,"Action,Drama,Horror,Mystery,Psychological,Supernatural",
"Goblin Slayer","Manga,Light novel,Audio Drama,Anime",,Fantasy,"Dark Fantasy,Demihumans"
"Gochūmon ha Usagi Desuka?","Anime,Manga,Visual novel,Games,Guide Book",,"Comedy,Slice of Life",
"God Eater","Anime,Manga,Light novel,Original Video Animation,Games,Audio Drama,Guide Book",,"Action,Fantasy,Supernatural",Battle
Godannar,"Anime,Manga,Light novel,Games",,"Comedy,Mecha,Romance",
Goddamn,"Anime,Manga,Original Video Animation",Seinen,Sports,"Cars,Racing"
Godzilla,"Anime,Film,Live Action",Seinen,"Action,Drama,Mecha,Science Fiction","Monsters,Space"
"Gokinjo Monogatari","Anime,Manga,Light novel,Film",,"Comedy,Drama,Romance",
"Gokudou-kun Manyuuki","Anime,Manga,Light novel",,"Action,Comedy,Fantasy,Supernatural",
"Gokujou Seitokai","Anime,Manga,Games",,"Action,Comedy,Slice of Life",
Gokujyo,"Anime,Manga",,"Comedy,Slice of Life","Absurdist,Ecchi"
"Gokujyou!! Mecha Mote Iinchou","Anime,Manga",,"Comedy,Romance",
"Gokukoku no Brynhildr","Anime,Manga,Original Video Animation",,"Drama,Fantasy,Mystery,Romance,Science Fiction",
Gokusen,"Anime,Manga,Film,Live Action,TV drama",,"Action,Comedy,Romance,Slice of Life",School
"Gokyoudai Monogatari",Anime,,Comedy,
"Gold Lightan","Anime,Games",,Mecha,
"Golden Boy","Anime,Manga,Original Video Animation",,"Adventure,Comedy",Ecchi
"Golden Kamuy","Anime,Manga",Seinen,"Action,Adventure,Drama",Historical
"Golden Time","Anime,Manga,Light novel,Visual novel,Games",,"Comedy,Drama,Romance","Memory Loss,Love Triangle"
"Goldfish Warning!","Anime,Manga,Film,Games",,Comedy,
"Golgo 13","Anime,Manga,Original Video Animation,Film,Live Action,Games",Seinen,"Action,Adventure,Drama,Horror,Mystery",Crime
Gon,"Anime,Manga,Games",,"Action,Adventure",Prehistoric
Gosick,"Anime,Manga,Light novel,Novel",,"Adventure,Comedy,Horror,Mystery,Romance","Detective,Boy Meets Girl,World War,Coming of Age"
Granbelm,Anime,,,
"Granblue Fantasy","Anime,Manga,Light novel,Film,Games,Guide Book",,"Action,Adventure,Fantasy","Aviation,Knights"
"Grand Blue","Manga,Anime",Seinen,"Comedy,Slice of Life",Watersports
"Grander Musashi","Anime,Manga",Kodomo,"Adventure,Fantasy,Sports",Fishing
"Grappler Baki","Anime,Manga,Original Video Animation,Games",Shōnen,"Action,Sports","Martial Arts,Mature,Tournament"
"Grave of the Fireflies","Anime,Novel,Film,Live Action",,"Action,Adventure,Romance,Slice of Life",War
Gravion,Anime,,"Adventure,Comedy,Mecha",
Gravitation,"Anime,Manga,Light novel,Original Video Animation,TV drama,Audio Drama",,"Comedy,Romance,Yaoi",Music
"Great Dangaioh","Anime,Original Video Animation",,Mecha,
"Great Teacher Onizuka","Anime,Manga,Live Action,TV drama",Shōnen,"Action,Comedy,Drama","Delinquent,School"
"Green Green","Anime,Light novel,Original Video Animation,Games",,"Comedy,Romance,Supernatural",
"Gregory Horror Show","Anime,Games",,Horror,
Grenadier,"Anime,Manga",,"Action,Adventure","Fanservice,Girls with Guns,Ecchi,Historical"
"Grimms Notes","Anime,Novel,Games",,Fantasy,"Fairy Tales"
"Ground Defense Force! Mao-chan","Anime,Manga",,Comedy,
"Gu Gu Ganmo","Anime,Manga,Film",Shōnen,,
"Gugure! Kokkuri-san",Anime,,"Comedy,Supernatural",
"Guilty Crown","Anime,Manga,Visual novel,Novel,Original Video Animation,Games,Guide Book",,"Action,Science Fiction","Superpower,Post-Apocalyptic,Military,School,Robots,Battle"
"Guin Saga","Anime,Manga,Light novel,Audio Drama",,"Action,Adventure,Fantasy",
"Gulliver Boy","Anime,Games",,"Action,Adventure,Fantasy,Mecha,Science Fiction",
"Gun Frontier","Anime,Manga,Novel",Seinen,"Action,Adventure,Drama,Slice of Life","Historical,Western"
"Gun Sword",Anime,,"Action,Comedy,Mecha",Western
Gunbuster,"Anime,Original Video Animation,Film",,"Action,Mecha,Science Fiction",Space
Gundam,"Anime,Manga,Light novel,Visual novel,Original Video Animation,Film,Live Action,Games,Guide Book","Kodomo,Seinen,Shōnen","Action,Comedy,Drama,Mecha,Science Fiction,Sports","Military,Politics,Martial Arts,Virtual Reality,Space,Space Opera,Post-Apocalyptic,Hobby,War,Tragedy,Golden Age"
Gungrave,"Anime,Games",,"Action,Science Fiction","Crime,Assassins,Gangs,Resurrection,Tragedy"
"Gunjou no Magmel","Anime,Manga",Shōnen,"Adventure,Fantasy",Superpower
"Gunparade March","Anime,Manga,Games",,"Action,Mecha,Drama,Romance,Science Fiction","Aliens,Military"
"Gunparade Orchestra","Anime,Original Video Animation",,"Action,Mecha,Drama,Romance,Science Fiction","Aliens,Military"
"Gunslinger Girl","Anime,Manga,Original Video Animation,Games",,"Action,Drama,Science Fiction","Girls with Guns"
"Gunslinger Stratos","Anime,Games",,"Action,Science Fiction",
"Guomin Laogong Dai Huijia","Anime,Manhua",,"Drama,Romance",
Gurazeni,"Anime,Manga",Seinen,"Comedy,Drama,Sports",Baseball
Guyver,"Anime,Manga,Original Video Animation,Film,Live Action",Shōnen,"Action,Adventure,Drama,Mecha,Science Fiction","Aliens,Mature,Monsters,Powered Suits"
H2,"Anime,Manga,TV drama",Shōnen,"Comedy,Romance,Sports",Baseball
"H2O: Footprints in the Sand","Anime,Manga,Visual novel,Games",,Romance,"School,Harem"
"HUGtto! Pretty Cure",Anime,Shōjo,"Action,Fantasy",
"Hachigatsu no Cinderella Nine","Games,Anime,Manga,Novel,Light novel,Original Video Animation",,Sports,"School Life,Baseball,Yonkoma"
"Hacka Doll","Anime,Games",,"Comedy,Science Fiction",
"Hagane Orchestra","Anime,Games",,"Adventure,Comedy",Parody
"Hagure Yuusha no Estetica","Anime,Manga,Light novel",,"Action,Fantasy,Romance",Harem
"Hai to Gensou no Grimgar","Anime,Manga,Light novel,Original Video Animation",,"Action,Adventure,Drama,Fantasy","Another World"
"Haibane Renmei","Anime,Manga",,"Drama,Fantasy,Mystery,Psychological,Slice of Life",
"Haikara-san ga Tōru","Anime,Manga,Film,TV drama",,"Comedy,Drama,Romance",
Haikyuu!!,"Anime,Manga,Light novel,Original Video Animation,Film,Games,Audio Drama,Guide Book",Shōnen,"Comedy,Drama,Sports","Volleyball,Tournament"
"Haitai Nanafa","Anime,Manga",,"Comedy,Supernatural",
"Haiyore! Nyaruko-san","Anime,Manga,Light novel,Original Video Animation,Guide Book",,"Action,Comedy,Romance,Supernatural","School Life,Aliens"
"Hajime no Ippo","Anime,Manga,Original Video Animation,Film",Shōnen,"Action,Comedy,Drama,Sports","Boxing,Fighting"
"Hakata Tonkotsu Ramens","Anime,Manga,Light novel",,Action,
Hakkenden,"Anime,Manga",Shōjo,"Action,Fantasy,Supernatural",
"Hakumei to Mikochi","Anime,Manga",,"Action,Fantasy,Slice of Life",
Hakuouki,"Anime,Manga,Original Video Animation,Games,Film",,"Action,Romance","Samurai,Reverse Harem,Tragedy"
"Hakushaku to Yousei","Anime,Manga,Light novel,Visual novel,Games,Audio Drama",,"Adventure,Fantasy",Magic
Halo,"Anime,Novel,Film,Games,Guide Book",,"Action,Science Fiction",Shorts
Hamatora,"Anime,Manga,Games,Guide Book",Shōnen,"Action,Comedy,Mystery",Superpower
Hamtaro,"Anime,Manga,Novel,Original Video Animation",Kodomo,"Adventure,Comedy",Pets
"Hana no Keiji","Anime,Manga,Novel,Games",Shōnen,"Action,Adventure,Drama","Historical,Martial Arts"
"Hana no Ko Lunlun","Anime,Film",,,
"Hanamaru Kindergarten","Anime,Manga",,"Comedy,Slice of Life",
"Hanasakeru Seishounen","Anime,Manga",,"Drama,Romance",
"Hanasaku Iroha","Anime,Manga",Shōnen,"Adventure,Romance,Slice of Life,Comedy","Ryokan,Coming of Age,High School"
"Hanaukyo Maid Team","Anime,Manga,Original Video Animation",,,Harem
Hanayamata,"Anime,Manga,Visual novel,Games,Guide Book",,"Comedy,Slice of Life",Dance
"Hanbun no Tsuki ga Noboru Sora","Anime,Manga,Film,Live Action,TV drama,Audio Drama",,"Comedy,Drama,Romance",
"Hand Maid May","Anime,Original Video Animation",,"Comedy,Romance,Science Fiction",Harem
"Hand Shakers","Anime,Original Video Animation",,"Action,Science Fiction",
Hanebado!,"Anime,Manga",Seinen,Sports,"Tennis,School Life"
Hanoka,Anime,,"Science Fiction",Aliens
"Happy Cooking Graffiti","Anime,Manga",,"Comedy,Slice of Life",Cooking
"Happy Happy Clover","Anime,Manga",Shōjo,,
"Happy Seven","Anime,Light novel",,Comedy,"Magical Girl,Harem"
"Happy Sugar Life","Anime,Manga",Shōnen,"Horror,Psychological,Yuri",
Happy☆Lesson,"Anime,Manga,Original Video Animation,Guide Book",,"Comedy,Drama,Slice of Life",Harem
"Hareluya II BØY","Anime,Manga",Shōnen,"Action,Comedy,Fantasy",Delinquent
Harmony,"Anime,Film",,"Psychological,Science Fiction",Science
Haruchika,"Anime,Manga,Light novel,Live Action",,Mystery,
"Haruhi Suzumiya","Anime,Manga,Light novel,Guide Book",,"Comedy,Science Fiction,Romance","Chuunibyou,School Life"
"Harukana Receive","Anime,Manga",Seinen,"Slice of Life,Sports",Volleyball
"Harukanaru Toki no Naka de","Anime,Manga,Games",,"Fantasy,Romance",
Haré+Guu,"Anime,Manga,Original Video Animation,Novel",,Comedy,
"Hashiri Tsuzukete Yokattatte",Anime,,"Drama,Slice of Life","Media Development,Shorts"
"Hataraki Man","Anime,Manga,TV drama",Seinen,"Drama,Slice of Life",
"Hataraku Maou-sama!","Anime,Manga,Light novel","Shōnen,Seinen","Action,Comedy,Fantasy,Romance","Workplace,Another World,Maou,Angels,Demons"
"Hatsukoi Limited","Anime,Manga,Light novel,Audio Drama",Shōnen,"Comedy,Romance",
"Hatsukoi Monster","Anime,Manga,Original Video Animation",,"Comedy,Romance",
"Hatsumei Boy Kanipan","Anime,Games",,"Mecha,Romance,Comedy",
"Haunted Junction","Anime,Manga,Games",,"Comedy,Supernatural",
"Haven't You Heard? I'm Sakamoto","Anime,Manga,Original Video Animation",,"Slice of Life",
"Hayate The Combat Butler","Anime,Manga,Original Video Animation,Games,Guide Book",Shōnen,"Action,Comedy,Romance,Slice of Life","Parody,School Life"
"Hayate X Blade","Anime,Manga,Audio Drama",,"Action,Comedy,Yuri",
"He Is My Master","Anime,Manga",,Comedy,
"Heart Catch Precure!","Anime,Manga","Shōjo,Kodomo",Fantasy,Magic
"Heat Guy J","Anime,Manga",,"Science Fiction",
"Heaven's Memo Pad","Anime,Manga,Light novel",Shōnen,Mystery,"Detective,Hikikomori"
"Heavy Metal L-Gaim","Anime,Original Video Animation",Shōnen,"Mecha,Action,Science Fiction,Adventure,Drama","Space,Revolution"
"Heavy Object","Anime,Manga,Light novel",,"Action,Mecha",
"Hello Kitty","Anime,Games,Film",Kodomo,,
Hellsing,"Anime,Manga,Original Video Animation,Audio Drama,Guide Book",Seinen,"Action,Horror,Supernatural",Vampires
"Hen Zemi","Anime,Manga,Original Video Animation",Seinen,"Comedy,Slice of Life",Ecchi
"Hentai Ouji to Warawanai Neko","Anime,Manga,Light novel,Guide Book",Seinen,"Comedy,Romance",School
"Hero Bank","Anime,Games",,Action,
"Heroic Age","Anime,Manga",,"Adventure,Mecha,Science Fiction",
Heroman,"Anime,Manga",Shōnen,"Action,Science Fiction","Superhero,Aliens"
"Hetalia: Axis Powers","Anime,Manga,Film,Games,Audio Drama,Guide Book",,Comedy,"Historical,Satire"
Heybot!,"Anime,Manga,Games",Kodomo,"Science Fiction,Comedy","Parody,Robots"
"Hibike! Euphonium","Anime,Manga,Novel,Film,Guide Book",,"Drama,Slice of Life","Music,School"
"Hidamari Sketch","Anime,Manga,Light novel,Guide Book",,"Comedy,Slice of Life",
"Hidan no Aria","Anime,Manga,Light novel,Original Video Animation,Guide Book",,"Action,Comedy,Romance",
"High School DxD","Anime,Manga,Light novel,Original Video Animation,Games,Audio Drama,Guide Book","Seinen,Shōnen","Comedy,Romance,Supernatural","Demons,Ecchi,School Life,Dark Fantasy,Harem,Maou,Reincarnation,Gods,Mythology,Dragons"
"High School Fleet","Anime,Manga",,"Science Fiction",Military
"High School Girls","Anime,Manga,Games",,"Comedy,Drama","Ecchi,School"
"High School! Kimengumi","Anime,Manga,Film,Games",,"Comedy,Romance",
"High Score Girl","Anime,Manga",Seinen,"Comedy,Romance","Gaming,Boy Meets Girl"
"Highschool of the Dead","Anime,Manga,Original Video Animation",Shōnen,"Action,Horror,Romance,Supernatural","Ecchi,Apocalypse,Zombies,Harem"
"Higurashi no Naku Koro ni","Anime,Manga,Visual novel,Original Video Animation,Film,Live Action,Games,Audio Drama",,"Drama,Horror,Mystery,Psychological",Thriller
"Hiiro no Kakera","Anime,Visual novel,Games",,"Adventure,Romance",
"Hikaru no Go","Anime,Manga",,"Drama,Psychological,Supernatural","School,Gaming,Chess"
Himawari,"Anime,Manga",,"Adventure,Comedy,Slice of Life",
"Hime-chan no Ribbon","Anime,Manga",Shōjo,"Comedy,Fantasy,Romance","Magical Girl"
"Hime-chen! Otogi Chikku Idol Lilpri","Anime,Manga",,"Comedy,Fantasy",
Himegoto,"Anime,Manga",Seinen,"Comedy,Slice of Life","Ecchi,Gender Bender"
"Himesama Goyoujin",Anime,,"Comedy,Slice of Life",
"Himitsu no Akko-chan","Anime,Manga,Film,Live Action",,"Comedy,Romance","Magical Girl"
"Himitsu no Cocotama","Anime,Film",,"Fantasy,Comedy,Slice of Life",
"Himitsu ~Top Secret~","Anime,Manga",,"Mystery,Psychological,Science Fiction",
"Himitsukessha Taka no Tsume",Anime,,Comedy,
"Himote House",Anime,,Comedy,Cats
